word,value
adequate,1
admire,3
admired,3
admires,3
admiring,3
admit,-1
admits,-1
admitted,-1
admonish,-2
admonished,-2
adopt,1
adopts,1
adorable,3
adore,3
adored,3
adores,3
advanced,1
advantage,2
advantages,2
adventure,2
adventures,2
adventurous,2
affected,-1
affection,3
affectionate,3
afflicted,-1
affronted,-1
afraid,-2
aggravate,-2
aggravated,-2
aggravates,-2
aggravating,-2
aggression,-2
aggressions,-2
aggressive,-2
aghast,-2
agog,2
agonise,-3
agonised,-3
agonises,-3
agonising,-3
agonize,-3
agonized,-3
agonizes,-3
agonizing,-3
agree,1
agreeable,2
agreed,1
agreement,1
agrees,1
